192.168.1.100 - - [24/Mar/2024:09:15:30 +0000] "GET /index.html HTTP/1.1" 200 1234 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
192.168.1.101 - - [24/Mar/2024:09:15:32 +0000] "GET /css/style.css HTTP/1.1" 200 5678 "https://example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.1.102 - - [24/Mar/2024:09:15:33 +0000] "POST /api/login HTTP/1.1" 200 512 "-" "Mozilla/5.0"
203.0.113.45 - - [24/Mar/2024:09:16:00 +0000] "GET /api/users?id=1 OR 1=1 HTTP/1.1" 200 2048 "-" "Mozilla/5.0"
203.0.113.45 - - [24/Mar/2024:09:16:05 +0000] "GET /api/users?id=1 UNION SELECT * FROM users HTTP/1.1" 200 2048 "-" "Mozilla/5.0"
203.0.113.45 - - [24/Mar/2024:09:16:10 +0000] "GET /api/users?id=1; DROP TABLE users; HTTP/1.1" 200 512 "-" "Mozilla/5.0"
192.168.1.103 - - [24/Mar/2024:09:17:00 +0000] "GET /api/profile?name=test<script>alert('xss')</script> HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
192.168.1.104 - - [24/Mar/2024:09:17:30 +0000] "GET /admin HTTP/1.1" 403 256 "-" "Mozilla/5.0"
192.168.1.105 - - [24/Mar/2024:09:18:00 +0000] "GET /api/auth/login HTTP/1.1" 401 0 "-" "Mozilla/5.0"
203.0.113.46 - - [24/Mar/2024:09:18:01 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:02 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:03 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:04 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:05 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:06 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:07 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:08 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:09 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.46 - - [24/Mar/2024:09:18:10 +0000] "POST /api/auth/login HTTP/1.1" 401 0 "-" "curl/7.68.0"
203.0.113.47 - - [24/Mar/2024:09:19:00 +0000] "GET /robots.txt HTTP/1.1" 200 256 "-" "Nikto/2.1.5"
203.0.113.47 - - [24/Mar/2024:09:19:05 +0000] "GET /wp-admin HTTP/1.1" 404 512 "-" "Nikto/2.1.5"
203.0.113.47 - - [24/Mar/2024:09:19:10 +0000] "GET /.git/config HTTP/1.1" 404 512 "-" "Nikto/2.1.5"
203.0.113.48 - - [24/Mar/2024:09:20:00 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:01 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:02 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:03 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:04 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:05 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:06 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:07 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:08 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
203.0.113.48 - - [24/Mar/2024:09:20:09 +0000] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
192.168.1.106 - - [24/Mar/2024:09:21:00 +0000] "GET /api/products HTTP/1.1" 200 4096 "https://example.com/" "Mozilla/5.0"
192.168.1.107 - - [24/Mar/2024:09:21:30 +0000] "POST /api/upload HTTP/1.1" 200 512 "-" "Mozilla/5.0"
192.168.1.108 - - [24/Mar/2024:09:22:00 +0000] "GET /download/file.pdf HTTP/1.1" 200 1048576 "-" "Mozilla/5.0"
193.0.113.99 - - [24/Mar/2024:09:22:30 +0000] "GET /api/config.php HTTP/1.1" 200 512 "-" "-"
193.0.113.99 - - [24/Mar/2024:09:22:35 +0000] "GET /../../../etc/passwd HTTP/1.1" 403 0 "-" "-"
193.0.113.99 - - [24/Mar/2024:09:22:40 +0000] "GET /..%5c..%5c..%5cetc%5cpasswd HTTP/1.1" 403 0 "-" "-"
